State,YEAR,        Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Vermont,2015,12303,24166,127127,75070,37916,97824,64248,440669
Virginia,2015,256445,373316,1399157,1127401,426955,1209217,892827,5687333
Washington,2015,191853,256378,1127649,1171141,471400,1059707,611186,4891329
West Virginia,2015,58050,124065,529290,244509,90019,152256,102158,1302362
Wisconsin,2015,116279,219265,1223628,835967,411400,742544,369914,3921012
Wyoming,2015,7773,22652,111830,102246,42212,67108,34926,390762
Alabama,2016,157797,333897,1011236,711231,271030,506680,308842,3302729
Alaska,2016,10392,22585,133928,129650,40819,90861,50716,480967
Arizona,2016,265215,349224,1105497,1179736,390843,835779,500115,4628425
Arkansas,2016,100157,179465,681969,449709,133315,282608,163225,1992464
California,2016,2556147,2062516,5390935,5602398,2031775,5426164,3234306,26306257
Colorado,2016,128209,192377,822144,787366,322529,934273,558608,3747522
Connecticut,2016,100513,133422,678776,415150,186288,541369,412219,2469753
Delaware,2016,22347,48247,212474,122182,52228,121717,83352,664563
Florida,2016,762762,1092451,4249733,2961148,1429121,2675907,1532549,14705687
Georgia,2016,334607,588019,1884080,1394205,518208,1270275,796001,6787411
Hawaii,2016,36083,43580,277743,212677,104261,211850,104743,992953
Idaho,2016,34434,69695,302866,275485,104375,203363,97047,1089281
Illinois,2016,429910,536517,2250392,1823126,682989,1813840,1128445,8667235
Indiana,2016,164742,346757,1481882,900213,374136,716293,408553,4394592
Iowa,2016,66242,105856,649532,438173,234055,398242,194920,2089036
Kansas,2016,68491,110352,496294,438343,157030,390861,230565,1893952
Kentucky,2016,170725,257735,968299,640040,256369,419081,283260,2997525
Louisiana,2016,160929,325509,1059273,654115,187288,473299,254607,3117036
Maine,2016,25640,48498,318369,187940,94984,181434,109704,968585
Maryland,2016,166606,240623,1046470,779195,268485,860491,760638,4124524
Massachusetts,2016,212315,240370,1156496,734632,363356,1124295,896051,4729531
Michigan,2016,203405,444504,1978343,1598192,626128,1162737,747093,6762418
Minnesota,2016,111658,152230,937937,796712,429762,860125,436859,3727299
Mississippi,2016,94724,216010,603335,438995,177695,264865,161398,1959038
Missouri,2016,137315,292624,1265386,927795,325244,729511,443139,4123030
Montana,2016,13453,37785,206415,168223,66134,148944,71662,714632
Nebraska,2016,51410,61935,328348,281360,129795,261931,129041,1245836
Nevada,2016,122892,157641,585057,516903,156342,308547,163228,2012626
New Hampshire,2016,20623,47275,256245,179277,97488,213461,133217,949602
New Jersey,2016,317182,343494,1706073,1024289,400332,1460518,919284,6173188
New Mexico,2016,84515,118426,370508,323025,116674,215691,162542,1393397
New York,2016,865976,1002316,3574814,2150858,1191816,2749619,2118193,13655608
North Carolina,2016,319570,553627,1775886,1482131,654866,1345615,745490,6879201
North Dakota,2016,13827,23917,134178,109216,67554,107578,38745,497031
Ohio,2016,222209,568107,2639028,1630529,682507,1362205,817476,7924077
Oklahoma,2016,103252,209774,802529,603826,203590,432922,215743,2573652
Oregon,2016,106021,171461,655893,745532,244515,572508,362022,2859968
Pennsylvania,2016,289165,591181,3132444,1431231,730217,1676971,1070766,8923991
Rhode Island,2016,38405,45778,204045,135369,60183,151195,99070,736061
South Carolina,2016,148917,304737,981669,713098,317549,591086,331420,3390492
South Dakota,2016,18275,31736,163910,123619,65093,111002,52259,567910
Tennessee,2016,216289,374024,1465937,959498,328595,756055,426800,4529214
Texas,2016,1529632,1506376,4474711,3869300,1259574,3362678,1773009,17777296
Utah,2016,51995,95408,404605,472108,178193,381130,199805,1785260
Vermont,2016,11087,23483,128767,75872,40499,92871,66984,441579
Virginia,2016,247576,366738,1372836,1116669,438669,1241751,936934,5723189
Washington,2016,192181,266656,1111786,1178772,491450,1098509,657201,4998571
West Virginia,2016,57435,123866,512228,233677,95794,162243,106514,1293773
Wisconsin,2016,106804,210940,1222607,812391,420412,758503,401672,3935345
Wyoming,2016,5751,20940,114624,97961,45601,67845,38072,392810
Alabama,2017,137386,309557,1029982,709100,278878,528019,316685,3311624
Alaska,2017,14246,25790,133132,126985,42724,86444,52240,483578
Arizona,2017,254700,350198,1136493,1178809,408070,863062,520030,4713379
Arkansas,2017,92735,174807,683285,443935,143522,301294,168820,2010415
California,2017,2459993,1989309,5541182,5641881,2070661,5616449,3359798,26681290
Colorado,2017,129351,190285,815595,798831,313309,994894,579803,3824085
Connecticut,2017,102064,137225,676911,411854,201193,533791,430816,2495871
Delaware,2017,23460,40091,218309,127966,51777,121442,90641,675703
Florida,2017,710891,1035042,4330040,2982278,1507434,2839500,1614992,15022194
Georgia,2017,313025,580411,1936501,1394047,540564,1311611,819867,6898043
Hawaii,2017,34495,42636,280494,204452,106987,216993,111687,999761
Idaho,2017,36681,65058,313029,291857,107505,202800,94858,1113805
Illinois,2017,424494,525386,2272174,1794526,692672,1829903,1167902,8709074
Indiana,2017,161138,343724,1450767,896138,394092,753268,436190,4437334
Iowa,2017,65578,100027,639230,440516,242738,406630,199190,2095926
Kansas,2017,66505,104758,490769,432206,167548,403542,239200,1906545
Kentucky,2017,164235,248251,997060,644270,241585,423916,299636,3020970
Louisiana,2017,152771,311048,1061526,666998,185409,482439,260086,3122294
Maine,2017,25574,49213,300716,184416,100214,193860,117747,973757
Maryland,2017,165505,254504,1020828,788808,285379,889090,763490,4169621
Massachusetts,2017,207140,235318,1163526,743218,360700,1146586,932085,4790590
Michigan,2017,192884,427082,1969839,1594025,649916,1201375,784189,6821327
Minnesota,2017,114437,147197,938908,788988,426760,888880,473246,3780433
Mississippi,2017,94490,211478,595611,431185,198080,265220,163277,1961358
Missouri,2017,129072,298467,1277505,912962,326430,743797,462042,4152292
Montana,2017,16155,34574,203141,170207,65772,157326,76491,725683
Nebraska,2017,48755,60668,331081,291423,128547,263330,135450,1261271
Nevada,2017,107354,165663,592846,518529,165508,340110,173170,2065197
New Hampshire,2017,18164,48396,268564,171011,97978,216750,137142,960022
New Jersey,2017,298109,330076,1696858,1014640,418148,1506899,969808,6236555
New Mexico,2017,80805,112760,370599,333280,117531,211995,164505,1393492
New York,2017,842286,1012659,3634065,2133828,1218132,2794920,2185242,13823149
North Carolina,2017,314734,539055,1800555,1487938,658224,1406739,783940,6993202
North Dakota,2017,13936,21087,130900,111306,66236,108045,44394,497921
Ohio,2017,218232,559456,2661209,1612818,698820,1381934,849416,7983902
Oklahoma,2017,104975,204039,804245,603902,208717,437243,223293,2588431
Oregon,2017,102453,159928,673810,730804,255783,609160,369257,2903212
Pennsylvania,2017,283386,560910,3134497,1416816,747997,1697397,1119839,8962859
Rhode Island,2017,37301,48991,220613,124664,58876,149699,96825,738986
South Carolina,2017,139309,295539,1016072,698438,330153,607024,357316,3445868
South Dakota,2017,16831,30795,176709,126282,62204,109803,51935,576576
Tennessee,2017,200536,359348,1488080,953734,332593,790840,463322,4590470
Texas,2017,1473004,1496019,4552676,3932201,1323957,3510311,1861178,18151363
Utah,2017,50122,93413,408078,469981,172999,416804,215638,1829052
