State,YEAR,Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Arkansas,2011,121108,194433,693216,426776,113074,254903,139917,1943427
California,2011,2511634,2110457,5150994,5392030,1872437,4697422,2708898,24443872
Colorado,2011,135447,195838,757700,773805,281428,789859,453233,3387310
Connecticut,2011,108358,158336,676513,438018,179119,500103,383956,2444403
Delaware,2011,28532,50984,192931,119828,42602,104599,71644,611120
Florida,2011,749262,1118540,4033074,2761492,1175984,2190780,1238449,13267581
Georgia,2011,368948,620384,1849141,1311569,419954,1119648,619317,6308961
Hawaii,2011,41062,47326,267463,216187,94200,180231,93043,939512
Idaho,2011,45008,68691,275033,268684,88949,174646,77449,998460
Illinois,2011,480820,610761,2351322,1811978,622949,1645334,998530,8521694
Indiana,2011,177743,364064,1509773,889853,334810,628173,351043,4255459
Iowa,2011,75177,114912,670103,432011,211899,358051,165048,2027201
Kansas,2011,76472,108250,516483,455731,137051,365541,192566,1852094
Kentucky,2011,203871,291143,996929,610797,203585,359975,256050,2922350
Louisiana,2011,181476,339225,1024825,643911,155360,415415,212525,2972737
Maine,2011,32045,53521,314456,191100,83864,168605,98946,942537
Maryland,2011,167418,268473,1010843,778659,245892,800177,644195,3915657
Massachusetts,2011,222929,262443,1165691,738697,349778,1004133,758377,4502048
Michigan,2011,228828,509168,2028204,1577887,555968,1037602,650667,6588324
Minnesota,2011,116545,167364,958243,797766,368032,777339,375512,3560801
Mississippi,2011,125696,235234,578273,434694,159186,240726,138899,1912708
Missouri,2011,157386,340886,1260623,918314,286363,656222,388760,4008554
Montana,2011,13638,38609,206699,170070,56859,132946,57972,676793
Nebraska,2011,46699,61065,347223,292447,114551,225822,108305,1196112
Nevada,2011,115683,174436,528392,455886,129688,269461,137414,1810960
New Hampshire,2011,26031,52952,267726,175455,86730,191748,113565,914207
New Jersey,2011,334272,378360,1767217,1037573,368288,1322225,796678,6004613
New Mexico,2011,98343,129382,359628,319658,101180,195527,150468,1354186
New York,2011,900547,1073719,3635549,2150291,1091931,2467536,1878131,13197704
North Carolina,2011,366748,609890,1745251,1396249,558745,1136478,585996,6399357
North Dakota,2011,20051,21538,120688,109215,58753,86615,31285,448145
Ohio,2011,257573,648932,2695735,1633426,602825,1196897,713848,7749236
Oklahoma,2011,117845,220261,774960,595284,172761,396219,191866,2469196
Oregon,2011,109780,171885,662549,709006,215713,486317,289504,2644754
Pennsylvania,2011,317207,674891,3270338,1443263,658863,1443083,906590,8714235
Rhode Island,2011,45849,62562,187966,134592,59485,134049,87763,712266
South Carolina,2011,173282,319721,955509,647172,266173,486569,262106,3110532
South Dakota,2011,22219,28408,168906,124081,52340,97956,43678,537588
Tennessee,2011,262111,414411,1435886,908721,259365,655551,358347,4294392
Texas,2011,1529216,1513011,4099519,3632685,1052281,2847501,1400178,16074391
Utah,2011,50780,104484,381551,444920,148367,322983,155583,1608668
